word,onset1,vowel1,tone1,onset2,vowel2,tone2,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f0_1,f0_2,f0_3,f0_4,specTilt_1_v2,specTilt_2_v2,specTilt_3_v2,specTilt_4_v2,jitter_1_v2,jitter_2_v2,jitter_3_v2,jitter_4_v2,shimmer_1_v2,shimmer_2_v2,shimmer_3_v2,shimmer_4_v2,hnr_1_v2,hnr_2_v2,hnr_3_v2,hnr_4_v2,amp_1_v2,amp_2_v2,amp_3_v2,amp_4_v2,f1_1_v2,f1_2_v2,f1_3_v2,f1_4_v2,f0_1_v2,f0_2_v2,f0_3_v2,f0_4_v2
nana,n,a,H,n,a,L,-4.135638191,-5.119793413,-4.466093004,-5.270091469,0.00658,0.00426,0.00094,0.00579,0.2078,0.02996,0.0271,0.17763,13.88631978,15.01989121,17.57106338,13.40512263,65.44873685,70.18158009,69.56876165,65.18310506,737.9255454,742.22214,716.5507268,646.0216973,151.6251124,154.0637743,155.2564993,154.04722,-6.346897882,-10.63643612,-9.182151226,-2.968587402,0.00845,0.0128,0.05552,NA,0.12013,0.00921,NA,NA,9.252180326,4.046670006,-1.241574308,-0.766324206,64.07429372,66.32259428,64.28110901,57.7909488,628.6167464,658.0669328,691.7517471,679.5393366,150.0682956,139.0178452,118.1587534,108.1797478
nuna,n,u,M,n,a,H,-11.91659741,-12.51919603,-12.59700674,-12.60192138,0.00203,0.00105,0.00167,0.0032,0.03498,0.01874,0.01761,0.01517,23.47277039,26.4821016,25.4961942,22.57141766,62.14299813,63.14852323,63.22142654,62.40162637,1129.54587,850.0756014,819.2509998,1045.217714,139.0795608,138.3573571,137.5243259,136.8250838,-2.953298372,-0.631173476,3.139561956,7.411501771,0.00667,0.00281,0.00441,0.02243,0.10362,0.01182,0.06061,0.17266,17.99805195,20.15548728,17.16343817,10.50082167,66.07017463,68.66161751,66.30359095,57.2259387,697.3601114,737.360316,746.2331499,715.9138398,158.1405854,161.1226586,163.4093889,156.4628569
nini,n,i,H,n,i,H,-2.428616559,-2.568965209,-2.181120192,-1.352991015,0.00997,0.00242,0.00288,0.00309,0.03875,0.01814,0.02182,0.02803,20.15180655,22.27623569,22.03375213,21.93852885,61.76143995,62.78267988,61.83299901,59.68555736,468.1357146,466.8297016,460.7314371,453.3667169,157.5486763,158.0129904,158.1203766,158.3031913,0.157597288,-0.115352432,1.19735393,6.917953639,0.00415,0.00297,0.00745,0.01769,0.03107,0.02481,0.03891,0.1117,19.25452884,20.55256175,16.69363947,15.02252512,59.14769278,59.03644852,57.73148257,54.06755648,453.7738728,468.8684985,508.8594284,561.145362,160.3147116,160.2489845,160.1599731,155.0629413
ninu,n,i,L,n,u,M,-11.12615632,-11.2291322,-12.07216515,-12.1997007,0.04166,0.01585,0.03224,0.07941,0.27867,0.42032,0.44059,0.37177,3.818091808,7.676072557,6.567619549,6.367089151,60.42140161,60.85517328,60.00828251,58.33558939,378.7944567,401.8286281,415.0567889,416.1629896,132.762873,121.6021108,116.1808724,113.1663645,-11.10846715,-10.98389281,-11.35489693,-10.18183014,0.0051,0.00383,0.00664,0.00201,0.02073,0.02697,0.02022,0.26985,21.35788226,21.3120298,16.34994313,15.98291886,63.00884498,63.45018796,62.7412131,57.38212026,525.6903759,591.6345727,632.8366599,568.4497109,132.8028764,135.0844319,133.9158406,130.8343085
nani,n,a,L,n,i,L,-8.718917664,-8.376872947,-8.304682776,-7.822463161,NA,NA,NA,NA,NA,NA,NA,NA,-0.292751717,0.090311671,-0.906932337,-1.431316532,64.19152385,65.37548642,62.64052568,57.69145295,696.0582236,713.6279197,669.6413901,604.3962422,113.324999,112.9170469,110.973226,110.071484,-13.9687988,0.172173778,8.255420274,7.427611604,0.09061,0.09893,0.11,0.1129,0.35965,0.4452,0.37148,0.02369,7.520117726,6.436373556,3.154253062,0.838357361,59.69764716,58.4665538,56.97909124,52.13442948,412.0528417,398.3459317,402.8115268,367.8556998,109.7506067,127.0988379,190.0719578,211.5220849
nunu,n,u,M,n,u,L,-11.22371298,-10.76568903,-13.01282574,-12.30947459,0.01412,0.00364,0.00194,0.00547,0.09156,0.03515,0.02177,0.0052,17.80872208,20.3395047,22.01770764,20.0896121,63.30700316,63.92827939,63.42620064,62.63227415,1113.347148,867.2597013,866.2894876,1081.182973,136.2736721,134.8151449,132.677879,129.9823567,-10.81416485,-8.044393544,NA,NA,0.05596,0.11596,NA,NA,0.23552,0.23602,NA,NA,3.60252652,2.208300794,0.024381196,0.538096035,57.35160576,55.60428636,54.24454648,51.67727197,502.5059643,654.2435785,662.1756265,671.826296,117.718614,117.2779028,NA,NA
nanu,n,a,M,n,u,M,-11.04993254,-9.859585915,-9.766705157,-8.461671086,0.0036,0.00255,0.00397,0.00406,0.07424,0.00823,0.02946,0.07026,16.96963551,18.88857752,16.61845513,14.39274712,63.20933461,64.77269654,64.41410692,61.97635237,689.8005922,718.5137543,694.8281565,601.8994022,131.3709795,132.9932698,132.7151048,130.2186582,-12.32627489,-12.13149652,-10.33032499,-9.161398049,0.00712,0.00227,0.00236,0.00664,0.08363,0.01595,0.06363,0.16326,17.12241464,23.56431811,23.06951459,16.5113832,61.14316263,61.46903235,60.46368991,56.13493827,668.3608904,1007.187736,890.4636345,408.580486,129.970881,130.2425065,130.6446298,132.0866491
nana,n,a,L,n,a,L,NA,NA,NA,-7.270836678,NA,NA,NA,NA,NA,NA,NA,NA,-0.384838954,0.024913741,0.063453334,-1.993595703,61.47632754,63.07107307,62.27127721,58.64039575,751.0453057,759.6491178,712.6900335,662.76687,NA,NA,NA,102.2040434,-8.076998747,-8.134843519,-7.875628905,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36049821,-0.579153707,-2.414200807,-5.038516232,59.64802945,60.72555458,57.80897035,52.35221556,680.9411777,693.6897611,686.3782431,648.6209546,106.2373348,103.4149839,90.52411947,NA
nuni,n,u,M,n,i,M,-12.94029849,-12.0060475,-12.74757834,-13.2702873,0.00309,0.0031,0.00065,0.00281,0.0577,0.00924,0.00771,0.04076,21.52459341,23.36066559,25.23063847,19.72868427,62.22908496,63.15979645,63.29914092,62.36017035,557.9077911,999.9930242,980.9658124,961.2993217,132.2853086,132.1872648,131.7104244,129.7727226,-15.00195664,-13.29873704,-12.6513694,-7.911333684,0.00356,0.00058,0.00152,0.00883,0.02569,0.01044,0.03329,0.16798,27.58861225,28.27817135,27.535581,16.62687311,61.44469929,61.70688499,60.63036429,56.42844888,359.564938,364.154369,362.2483987,351.3578495,128.4826977,128.188987,128.5236637,130.5040394
ninu,n,i,L,n,u,L,-12.11789941,-9.557044759,-12.16880355,-13.41429576,0.06282,0.1094,0.15928,0.21396,NA,0.23706,NA,NA,2.836527006,0.560419565,0.682731674,0.048812929,57.61286797,58.39323164,57.96806409,57.00760891,438.6013555,436.7905223,491.5286757,475.5608339,115.6478312,112.5892165,108.2857726,103.9656452,-12.21890626,-12.58375835,-6.265156314,-2.010016048,0.17314,NA,NA,NA,NA,NA,NA,NA,-1.689310834,-2.152075832,-3.432125717,-4.109631932,57.80798593,57.58972839,56.53652779,52.89351641,480.5321447,608.9579171,686.1719573,847.9962911,103.7288666,102.4409664,99.46244443,100.0627253
