subj,word,onset1,vowel1,tone1,onset2,vowel2,tone2,trial,block,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f0_1,f0_2,f0_3,f0_4,specTilt_1_v2,specTilt_2_v2,specTilt_3_v2,specTilt_4_v2,jitter_1_v2,jitter_2_v2,jitter_3_v2,jitter_4_v2,shimmer_1_v2,shimmer_2_v2,shimmer_3_v2,shimmer_4_v2,hnr_1_v2,hnr_2_v2,hnr_3_v2,hnr_4_v2,amp_1_v2,amp_2_v2,amp_3_v2,amp_4_v2,f1_1_v2,f1_2_v2,f1_3_v2,f1_4_v2,f0_1_v2,f0_2_v2,f0_3_v2,f0_4_v2
mz1,nunu,n,u,L,n,u,M,27,4,-11.91743721,-10.25181442,-10.5565804,-10.65149485,0.01794,0.00173,0.00286,0.01587,0.0852,0.01757,0.01589,0.08561,19.98217329,19.24402188,18.11019751,21.28892751,65.38041183,64.35187568,64.39000958,64.15115273,424.4933731,435.9049217,427.2929392,388.4877067,124.419618,122.6826958,122.1792057,122.9769493,-11.3228169,-11.96334516,-12.63395515,-10.19150552,0.00324,0.00393,0.00113,0.00568,0.04149,0.01316,0.02265,0.01289,23.20395872,21.32230391,24.18316963,14.88687754,65.48891338,66.28854294,66.42802571,63.96869794,307.7509458,451.2829936,516.9079577,744.550196,138.7910412,137.7072302,136.8736879,139.2187225
mz1,nina,n,i,L,n,a,M,28,4,-10.69353539,-11.41905661,-11.18041715,-9.758510918,0.02392,0.00327,0.00027,0.00203,0.1211,NA,NA,0.08585,13.37345217,22.80884998,21.27884337,25.07807225,68.17738836,66.90832065,67.0658418,66.91771228,357.5631074,361.43992,360.5569545,355.3095572,124.4171808,122.5484217,122.6031461,123.2953723,-11.17979835,-11.11104091,-10.04984768,-5.021664128,0.00264,0.00295,0.00317,0.00849,0.06954,0.02373,0.09782,0.21194,18.05719018,21.91034026,18.69169748,16.50822327,71.73480575,72.56622809,69.83985734,61.60488532,701.1957473,720.4137371,666.0872098,580.5684353,135.9924778,136.4512202,135.6725991,132.991894
mz1,nana,n,a,M,n,a,H,29,4,-7.728040988,-9.519281357,-8.336286223,-8.60956961,0.01795,0.00251,0.00353,0.002,0.23556,0.00667,0.03607,0.0673,8.932713101,15.73338461,15.45831136,13.93939796,70.53717433,72.44128932,72.54787024,71.12341322,673.5034259,716.7605872,689.6738263,639.7274548,143.9434537,141.4877535,141.8623603,144.0942795,0.628927835,1.936638521,6.400077251,13.70909311,0.00573,0.00164,0.00471,0.01822,0.08966,0.0169,0.17231,0.26304,17.49691698,21.50477398,14.68115366,10.2253238,71.68136889,72.8720823,69.23368434,57.02726436,703.0647357,745.5880008,746.2822916,811.6350979,161.4875699,161.8251844,161.762941,154.9803775
mz1,nini,n,i,M,n,i,L,30,4,-9.131562108,-10.75849298,-11.23019107,-13.63310952,0.01892,0.00234,0.00412,0.01516,0.10138,0.0211,0.014,0.08514,18.02765801,20.36659485,18.73181147,18.4663567,68.32134981,70.3784319,70.91530609,70.093321,337.593979,332.5950925,325.6090937,316.3925581,142.400561,140.6659424,138.4592789,136.0714158,-12.54784363,-12.46589853,-9.218220041,-0.833925383,0.06639,0.07176,0.17686,0.06342,0.38716,0.36765,0.21849,NA,6.948678753,6.306784157,3.652344895,0.089117179,67.57232461,65.09979511,61.00676752,51.90827587,341.9365896,361.0981956,353.428682,297.0635177,114.4352614,107.9522828,102.8539699,101.4046969
mz1,ninu,n,i,M,n,u,H,31,4,-8.478365739,-9.520623213,-11.58439504,-12.70941405,0.0253,0.00143,0.00485,0.00571,0.24334,0.01591,0.02134,0.05754,19.60647479,25.68403215,19.10518627,21.46530188,65.26711864,66.75519307,67.44288595,66.8923107,322.574569,320.3846089,316.3718215,313.1970842,140.4561817,139.2855613,137.8306638,136.8714631,0.506590302,1.571579068,2.178488352,2.9324337,0.00851,0.00256,0.00216,0.00413,0.03073,0.01985,0.02525,0.03757,14.57493296,17.22972342,21.42222678,19.6367499,63.55553839,64.62566996,65.14115531,64.56121602,647.3990118,752.03169,832.4496467,750.4956216,156.4099739,160.5367426,162.8606045,163.2446498
mz1,ninu,n,i,L,n,u,H,32,4,-12.43398023,-9.613498947,-9.641215159,-12.03487971,0.01271,0.00708,0.01598,0.03633,NA,NA,NA,NA,6.060018222,5.830751969,5.795100837,5.874813794,66.62535885,65.71557779,65.23679489,64.57124315,352.5199861,348.6803718,342.6325614,338.9507076,119.3588176,116.4659321,115.0321193,113.7684009,-9.405662618,-9.624211017,0.065201972,15.8119536,0.01372,0.01599,0.01882,0.01441,NA,0.06001,0.07853,0.08886,12.43063008,11.22701968,7.807484658,13.98046356,66.31719435,67.90445783,65.38860939,57.51774468,695.5783467,701.0941533,744.9966082,795.3230974,119.9129526,129.8106254,150.920021,156.2040415
mz1,nunu,n,u,L,n,u,H,33,4,-9.752116648,-9.895409745,-10.2816203,-12.72740358,0.10208,0.09186,0.12235,0.13691,NA,0.42298,0.31817,0.37822,4.121202491,4.008548907,3.62713449,3.718934393,65.51494139,65.35855125,64.45278607,64.34984381,665.9548026,877.1104658,660.2430834,407.1299765,114.6654442,113.9102818,112.1964737,110.6259731,-10.11708901,-8.689648269,-10.20790409,9.370046401,0.09189,0.01976,0.02547,0.01476,0.439,0.20128,0.20695,0.14858,5.431466386,11.97409012,8.136302406,13.20357221,64.03076474,65.86041038,65.72007757,57.75650186,608.6178026,676.5260215,723.8894575,726.6863585,115.4506847,124.5614722,140.0780653,151.6810536
mz1,nanu,n,a,H,n,u,L,34,4,3.841103345,3.4780098,0.93366573,-0.460430175,0.00514,0.00314,0.00339,0.00432,0.1572,0.03431,0.05451,0.1136,16.10573879,18.34050604,15.26860383,16.70083397,68.73442568,72.42729669,72.41463258,68.52464735,689.2958977,721.9038852,708.1002379,654.5606323,158.9569368,160.4497604,159.9473641,158.8962339,3.248017931,-3.055170848,-9.87313935,-0.436428445,0.00847,0.0254,0.06048,NA,0.05423,0.02569,NA,NA,10.89478868,4.945913816,1.376760424,-3.677977714,64.08682642,64.70690405,64.9168413,55.65241839,611.274129,785.8264706,733.199552,912.7363835,161.9564679,146.3926926,118.7552383,106.0661869
mz1,ninu,n,i,H,n,u,H,35,4,3.179548642,3.393584918,3.463840799,3.430112102,0.00825,0.00448,0.00549,0.00308,0.02634,0.01368,0.01789,0.05107,15.61045435,17.07587519,21.05449586,20.42499936,64.31245039,65.66886679,65.89999434,65.0549683,431.9722644,443.7517929,454.3536486,448.1430416,159.2777683,161.4197898,162.6748955,162.8533096,3.406267482,4.203318882,6.669733823,11.32184963,0.00311,0.00184,0.00338,0.01644,0.01407,0.02286,0.04872,0.18138,22.25260612,23.60333757,20.07070043,16.36722995,65.19262149,65.50374957,63.22026883,57.33598266,821.5247531,794.3124343,759.2643761,826.2967004,160.0336978,160.3669036,159.5849444,153.0338792
mz1,nanu,n,a,M,n,u,L,36,4,-9.064871867,-9.33027187,-10.06211762,-9.737409341,0.00571,0.00342,0.00271,0.00387,0.10607,0.00839,0.0405,0.01476,14.57004919,17.25340343,19.0667494,19.46962683,70.12473945,71.86844979,72.02868396,70.43630266,695.787218,719.233768,664.8862387,586.5130344,138.4844128,137.4348604,138.6124537,138.3344741,-12.23091212,-10.94182904,-6.740681067,2.048126547,0.04467,0.11409,0.05739,NA,0.41328,0.3433,NA,NA,4.576546056,2.544873416,-0.347916047,-4.674640316,65.51502358,63.35023114,59.83743852,52.34993812,605.9871989,845.5614584,645.090515,869.5417172,115.6619672,112.1247034,107.5226773,105.2144523
mz1,nuni,n,u,M,n,i,L,37,4,-4.0701279,-7.059969885,-7.603928424,-11.10193414,0.01188,0.00393,0.00359,0.00837,0.11414,0.00576,0.00326,0.00554,17.09235044,23.40990557,20.64428719,14.93003471,67.24335862,69.1969571,69.4600632,69.4469747,916.9082207,714.3038676,712.8773733,765.3968085,147.0548641,145.9323626,144.2075686,140.3778868,-11.57894221,-11.71645259,-6.45767889,NA,0.06807,0.11819,0.07972,NA,NA,NA,NA,NA,4.646827507,3.611855187,0.131570797,-3.862659202,65.56625451,63.74843593,60.54826944,51.00211045,421.9119572,411.6879714,420.1059864,459.4024595,109.1683761,105.0386913,103.1720923,NA
mz1,ninu,n,i,M,n,u,L,38,4,-2.026026938,-4.172331931,-7.194771593,-8.703744133,0.01958,0.00288,0.00398,0.00786,0.11349,0.01489,0.00559,0.02078,17.07186606,19.37645982,17.48489575,13.16823361,66.94980609,68.64814523,69.09713051,68.40152906,348.2416039,345.1878649,335.1913239,326.7847852,147.3418366,146.5540109,143.9966508,140.2758332,-10.72453592,-9.57474147,-4.0274209,-0.755910587,0.13732,NA,NA,NA,0.29703,NA,NA,NA,1.421033447,-1.057253808,-1.052341008,-3.20946134,64.66409363,62.32924227,60.75265302,55.27600867,701.5248688,657.6911687,708.2431363,764.3227346,111.9225768,104.7905597,101.8366272,101.2222477
mz1,nana,n,a,L,n,a,L,39,4,-9.736123766,-8.991182977,-10.49456999,-8.986394487,NA,NA,NA,NA,NA,NA,NA,NA,-3.207494376,-1.3135838,-0.970595797,-2.083433723,69.5492121,70.00963554,69.66609445,67.19270486,690.9283303,732.8716261,729.5005277,707.580718,115.9630511,111.2736118,109.2696777,107.6619875,-9.529852333,-3.866609026,-1.775206833,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.68196928,0.245124107,-1.143696837,-2.987280296,66.5900326,67.39315262,65.04439874,55.18292101,695.4624998,701.243382,701.242633,676.3679585,105.2067879,101.779226,100.310369,NA
