,subj,block,trial,error,F0_error,carrier_word,target_word,target_start,target_end,target_dur,target_sylons,target_sylonsvoice,target_sylonsclass,target_vowel,target_tone,target_sylonsdur,target_voweldur,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f2_1,f2_2,f2_3,f2_4,f3_1,f3_2,f3_3,f3_4,f0_1,f0_2,f0_3,f0_4
19,MM02,1,19,FALSE,FALSE,say,ta,1.230974433,1.532312016,0.301337583,t,,obstruent,a,M,0.009447885,0.291889697,2.409571075,2.235418205,5.81694013,19.79773713,0.02326,0.00491,0.0168,0.01596,0.13802,0.05778,0.11485,0.12886,6.45070496,8.8836754,5.899925705,5.564567093,70.76754168,66.35251003,62.10803073,56.35461668,741.6828812,669.1950224,785.2941846,785.8165596,1660.636618,1555.060304,1702.931195,1623.250033,2587.053968,2520.578958,2880.109728,2792.538826,129.6452008,130.4542061,130.4351471,133.2636453
20,MM02,1,20,FALSE,FALSE,say,lu,1.347973452,1.627278633,0.279305182,l,,sonorant,u,L,0.141981326,0.137323856,9.55532086,8.491975714,11.60457979,1.602825865,NA,NA,NA,NA,NA,NA,NA,NA,-3.077626631,-7.056680914,-1.846630702,3.048626125,60.58326391,62.13889071,55.93179054,50.76700246,914.7412997,876.9124658,803.4030262,620.755545,2024.583765,2145.478439,2045.383188,1954.681421,3322.122141,3156.125445,3223.493935,3258.66681,107.2769962,104.1516333,94.56647632,85.03636288
21,MM02,1,21,FALSE,FALSE,say,nO,2.649645214,2.915445417,0.265800203,n,,sonorant,O,L,0.107937533,0.157862669,2.256965223,0.867572615,-2.582459481,6.291213613,NA,NA,0.02289,NA,NA,NA,NA,NA,-8.086686195,-7.983243137,-3.025690065,-0.527389359,66.03945622,63.47362302,58.79024277,54.98360698,434.3981313,396.9167008,418.8612458,476.0441572,1765.63014,1313.654427,1692.251143,1742.585103,3168.474053,2689.727266,2715.734349,2840.540595,110.4937867,104.1585913,97.14420376,92.7045803
22,MM02,1,22,FALSE,FALSE,say,li,1.34515378,1.853984615,0.508830835,l,,sonorant,i,M,0.159037343,0.349793493,3.055472592,1.793429259,1.373076122,14.68640162,0.00542,0.0035,0.00721,0.01542,0.02131,0.04012,0.08118,0.14365,19.56089132,21.8475029,18.68475008,16.6741939,70.13268593,69.51923359,64.86045842,52.25110765,281.8717689,302.0601444,237.0415952,1446.969502,2060.872139,2064.505288,2253.054354,2877.915687,3202.889865,2939.448531,2691.754449,3757.566896,129.6291467,129.2505143,131.4404366,131.1314348
23,MM02,1,23,FALSE,FALSE,say,nu,1.726389062,2.055238376,0.328849313,n,,sonorant,u,L,0.157743879,0.171105434,16.57691203,14.66236798,5.7155789,5.096946718,NA,NA,0.01753,NA,NA,NA,NA,NA,NA,NA,-2.625538774,-0.689945817,66.42804417,63.97474981,58.4394976,51.77477733,390.5649126,339.828242,364.0572062,327.1643446,1656.517979,2092.501238,2140.734583,2102.30685,2747.772055,2821.714626,2853.288506,3138.062679,112.0054368,106.1409149,96.98854748,87.66108905
24,MM02,1,24,FALSE,FALSE,say,lu,19.14086691,19.54059712,0.399730212,l,,sonorant,u,M,0.161239865,0.238490347,0.904462064,1.036421955,1.657586586,13.50753415,0.00526,0.00391,0.00923,0.0064,0.05644,0.11742,0.14138,0.14999,22.95222908,28.37923049,22.13279485,14.60092095,74.91953861,71.33485807,64.11659641,58.72314404,286.6107663,289.107837,314.8340179,581.9677936,1457.912584,2221.943488,1548.101269,1493.526836,2776.010101,3410.935461,3042.070864,3182.766465,133.6813319,130.2770929,129.3489272,132.0102657
25,MM02,1,25,FALSE,FALSE,say,la,1.996450013,2.452118972,0.455668959,l,,sonorant,a,M,0.175095017,0.280573942,3.145311294,1.668413487,5.743414793,18.16094856,0.01146,0.00764,0.01206,0.0264,0.16883,0.05391,0.05422,0.14934,6.548879718,6.194516096,6.57159917,6.864398968,69.15043086,65.56408881,63.79342748,58.40100287,733.250971,724.6192278,671.9192714,1505.117909,1577.765528,1490.835271,1700.998924,2534.46218,2655.613509,2587.826096,2713.735339,3487.731048,131.3417102,129.1045622,135.8769335,141.9306659
26,MM02,1,26,FALSE,FALSE,say,na,2.79012315,3.247412425,0.457289275,n,,sonorant,a,M,0.163608948,0.293680327,4.442751745,3.609204846,1.196679993,20.44549284,0.01767,0.00723,0.01043,0.02262,0.08635,0.105,0.02965,0.13554,8.026522362,6.647250062,9.557849587,10.71716877,67.17082392,63.571661,63.06610089,58.68538907,572.7658251,739.042788,464.5713169,1469.80749,1636.048544,1791.40062,1609.071311,2338.453147,2701.265485,2735.446695,2510.480443,3364.975738,129.0540159,126.3844412,131.6554865,141.9571396
27,MM02,1,27,FALSE,FALSE,say,ni,2.395878073,2.774173538,0.378295465,n,,sonorant,i,H,0.149797607,0.228497858,9.557388334,6.806028479,13.60524007,13.68319427,0.00352,0.0045,0.0037,0.00827,0.04173,0.06975,0.17923,0.16816,21.6415337,20.6090319,18.87381556,18.90972467,76.16390793,73.62225135,66.54987172,57.01607843,363.0001174,330.6092301,386.2861475,206.8636835,2408.329358,2473.630071,2274.164193,1922.586335,3375.016176,3641.103917,3456.844298,2551.042168,151.7235561,152.196593,156.3669748,154.6434038
28,MM02,1,28,FALSE,FALSE,say,nO,3.497265172,3.923260308,0.425995136,n,,sonorant,O,M,0.138271567,0.287723569,1.789473124,0.142364814,1.884454811,14.32968991,0.01555,0.00494,0.00776,0.01634,0.03137,0.06124,0.06723,0.18323,13.57978209,18.5919073,14.72741373,14.01187811,71.12067234,68.93076259,63.58001169,57.83064947,700.6904242,656.3746145,631.2490159,812.4050367,2602.654861,2530.46661,2065.033046,1922.782287,3150.850761,3080.795882,3230.902582,3187.834454,127.4071878,124.1532488,127.862088,132.9869872
29,MM02,1,29,FALSE,FALSE,say,tO,7.517794215,7.793744958,0.275950743,t,,obstruent,O,H,0.011953402,0.263997341,2.093104186,-3.808413537,-1.323000034,6.570292347,0.02556,0.0069,0.00379,0.01202,0.07026,0.08641,0.10189,0.06356,9.954624281,14.52063086,17.47386873,14.22640006,77.50991831,75.22142712,69.42201588,58.91357808,660.3714673,528.8436823,505.9373136,555.5405628,864.1674241,916.0993812,917.333657,1609.536027,2848.311898,2824.675328,2847.833869,3050.481971,172.9307717,157.6325574,154.8638488,155.1339125
30,MM02,1,30,FALSE,FALSE,say,te,2.074680042,2.473509104,0.398829062,t,,obstruent,e,M,0.042618887,0.356210175,-1.590352457,0.101790964,1.644966903,16.11732269,0.0093,0.00522,0.0037,0.01248,0.03086,0.05668,0.10895,0.0991,15.17468856,17.4729113,20.2170521,19.08796848,77.78282421,76.43939915,68.56119096,60.08930874,331.8960149,317.9185272,304.1474584,165.1396344,2218.824087,2148.793648,2217.468065,2056.361413,2452.86572,2396.178583,2521.679571,2639.291574,144.8890824,137.1751682,133.1402186,135.9250684
